MET "Phase [deg]"
235008843 13.3
235025818 13.3
267962895 14.3
268136595 14.3
293656172 14.9
293683412 14.9
293765372 14.9
295202852 14.9
295248572 14.9
295264772 14.9
295790270 15.0
295841330 15.0
295852430 15.0
296654214 15.0
296723034 15.0
296784894 15.0
296796474 15.0
297296874 15.0
297384215 15.0
297392108 15.0
297614255 15.0
297620628 15.0
298074741 15.0
298079918 15.0
298856348 15.2
299078698 15.6
299204100 167.3
299234376 166.0
299292406 165.5
299348940 165.3
299391420 165.3
299791473 165.0
299796965 165.0
300583474 165.0
300588366 165.0
308705894 164.8
308706706 164.8
308714626 164.8
308714626 164.8
308721734 164.8
308722546 164.8
