

 ----- Approach monitoring ----- 
  1/571:   0,   0,  0034599119_1.fit,   1X1,   2007 FEB 24 05:00:01.36,   0.003,          --,   IO       
  2/571:   0,   1,  0034599122_1.fit,   1X1,   2007 FEB 24 05:00:04.36,   0.020,          2s,   IO       
  3/571:   0,   2,  0034630919_1.fit,   1X1,   2007 FEB 24 13:50:01.37,   0.003,  8h 49m 57s,   IO       
  4/571:   0,   3,  0034630922_1.fit,   1X1,   2007 FEB 24 13:50:04.36,   0.020,          2s,   IO       
  5/571:   0,   4,  0034685519_1.fit,   1X1,   2007 FEB 25 05:00:01.36,   0.003, 15h  9m 57s,   IO       
  6/571:   0,   5,  0034685522_1.fit,   1X1,   2007 FEB 25 05:00:04.36,   0.020,          2s,   IO       
  7/571:   0,   6,  0034698119_1.fit,   1X1,   2007 FEB 25 08:30:01.37,   0.003,  3h 29m 57s,   IO       
  8/571:   0,   7,  0034698122_1.fit,   1X1,   2007 FEB 25 08:30:04.36,   0.020,          2s,   IO       
  9/571:   0,   8,  0034721219_1.fit,   1X1,   2007 FEB 25 14:55:01.37,   0.003,  6h 24m 57s,   IO       
 10/571:   0,   9,  0034721222_1.fit,   1X1,   2007 FEB 25 14:55:04.36,   0.020,          2s,   IO       
 11/571:   0,  10,  0034785119_1.fit,   1X1,   2007 FEB 26 08:40:01.36,   0.003, 17h 44m 57s,   IO       
 12/571:   0,  11,  0034785122_1.fit,   1X1,   2007 FEB 26 08:40:04.36,   0.020,          2s,   IO       

 ----- Approach monitoring, Pele on limb ----- 
 13/571:   1,   0,  0034583519_1.fit,   1X1,   2007 FEB 24 00:40:01.37,   0.003,          --,   IO       
 14/571:   1,   1,  0034583522_1.fit,   1X1,   2007 FEB 24 00:40:04.36,   0.020,          2s,   IO       

 ----- High Phase Monitoring ----- 
 15/571:   2,   0,  0035029094_1.fit,   1X1,   2007 MAR 01 04:26:16.37,   0.004,          --,   IO       
 16/571:   2,   1,  0035029097_1.fit,   1X1,   2007 MAR 01 04:26:19.36,   0.020,          2s,   IO       
 17/571:   2,   2,  0035029100_1.fit,   1X1,   2007 MAR 01 04:26:22.33,   0.075,          2s,   IO       

 ----- High phase monitoring ----- 
 18/571:   3,   0,  0035022029_1.fit,   1X1,   2007 MAR 01 02:28:31.36,   0.022,          --,   IO       
 19/571:   3,   1,  0035022049_1.fit,   1X1,   2007 MAR 01 02:28:51.36,   0.020,         20s,   IO       
 20/571:   3,   2,  0035022052_1.fit,   1X1,   2007 MAR 01 02:28:54.33,   0.075,          2s,   IO       
 21/571:   3,   3,  0035040494_1.fit,   1X1,   2007 MAR 01 07:36:16.37,   0.004,  5h  7m 22s,   IO       
 22/571:   3,   4,  0035040497_1.fit,   1X1,   2007 MAR 01 07:36:19.36,   0.020,          2s,   IO       
 23/571:   3,   5,  0035040500_1.fit,   1X1,   2007 MAR 01 07:36:22.33,   0.075,          2s,   IO       
 24/571:   3,   6,  0035077919_1.fit,   1X1,   2007 MAR 01 18:00:01.36,   0.028, 10h 23m 39s,   IO       
 25/571:   3,   7,  0035077939_1.fit,   1X1,   2007 MAR 01 18:00:21.36,   0.020,         20s,   IO       
 26/571:   3,   8,  0035077942_1.fit,   1X1,   2007 MAR 01 18:00:24.33,   0.075,          2s,   IO       
 27/571:   3,   9,  0035129519_1.fit,   1X1,   2007 MAR 02 08:20:01.34,   0.068, 14h 19m 37s,   IO       
 28/571:   3,  10,  0035129539_1.fit,   1X1,   2007 MAR 02 08:20:21.36,   0.020,         20s,   IO       
 29/571:   3,  11,  0035129542_1.fit,   1X1,   2007 MAR 02 08:20:24.33,   0.075,          2s,   IO       
 30/571:   3,  12,  0035140199_1.fit,   1X1,   2007 MAR 02 11:18:01.33,   0.079,  2h 57m 36s,   IO       
